payment_id,order_id,payment_method,amount,currency,payment_timestamp
64,94,online,353.77,RUB,2025-01-14 14:32:14
65,96,card,84.98,USD,2026-02-02 09:16:17
66,98,card,844.88,RUB,2025-07-24 06:28:34
67,99,card,221.85,RUB,2024-12-01 01:47:11
68,100,cash,521.28,RUB,2025-05-09 14:51:28
69,101,card,479.95,EUR,2024-12-07 04:09:32
70,102,crypto,237.34,EUR,2026-02-27 21:07:38
71,108,card,1949.75,RUB,2026-05-12 03:46:51
72,109,card,889.1999999999999,EUR,2026-01-22 09:29:38
73,114,card,211.8,EUR,2025-04-02 21:56:45
74,115,card,1635.12,USD,2025-11-12 05:13:15
75,118,card,1021.68,EUR,2025-02-01 09:54:39
76,119,card,1753.0,RUB,2024-11-13 05:50:58
77,120,card,70.44,RUB,2024-11-11 17:17:03
78,121,cash,603.9300000000001,EUR,2026-04-28 21:16:40
79,123,online,295.56,EUR,2026-01-16 02:07:41
80,124,online,78.25,RUB,2025-05-23 11:19:40
81,126,crypto,2326.95,RUB,2026-01-05 19:08:09
82,128,online,41.02,USD,2025-02-19 16:19:12
83,130,online,387.55,EUR,2024-07-28 14:23:12
84,131,online,126.7,USD,2025-03-17 05:56:30
85,132,card,1441.6999999999998,USD,2024-12-10 15:59:01
86,133,online,94.26,EUR,2024-06-30 14:15:14
87,134,card,978.24,USD,2024-07-27 00:10:54
88,135,crypto,1349.52,USD,2025-11-18 17:10:09
89,138,card,614.8,RUB,2024-07-28 11:02:58
90,139,cash,55.16,USD,2025-03-12 17:19:35
91,142,online,1083.68,RUB,2024-06-23 15:11:12
92,143,card,1898.45,EUR,2026-01-23 05:47:18
93,144,card,1113.5,EUR,2026-04-29 05:30:56
94,146,card,268.95000000000005,EUR,2025-08-01 19:35:05
95,148,cash,561.6899999999999,RUB,2026-04-16 18:29:43
96,151,online,1401.05,USD,2025-12-12 09:34:25
97,152,card,289.36,RUB,2025-01-04 18:37:59
98,153,card,100.29,RUB,2024-09-02 00:40:39
99,154,card,476.33,EUR,2025-10-08 02:23:37
100,156,card,239.75,USD,2026-03-05 05:51:16
101,157,online,324.52,EUR,2025-12-01 12:33:38
102,159,card,1397.5500000000002,RUB,2024-09-13 01:13:58
103,160,card,1969.5,RUB,2025-04-19 02:42:29
104,161,cash,393.46,RUB,2025-06-10 15:09:07
105,162,cash,1848.1999999999998,RUB,2026-01-14 23:37:05
106,163,cash,1130.5,EUR,2024-07-15 18:16:09
107,164,card,369.42,EUR,2024-11-23 00:21:21
108,165,crypto,749.28,EUR,2024-11-16 15:59:58
109,166,online,614.35,EUR,2026-01-28 14:15:51
110,167,card,1361.24,RUB,2025-08-12 02:00:21
111,168,card,49.94,EUR,2024-10-06 05:09:23
112,169,online,901.88,EUR,2025-12-17 18:43:48
113,174,cash,1143.75,RUB,2025-04-15 13:02:20
114,175,card,255.3,USD,2026-02-02 00:19:42
115,177,card,286.42,RUB,2025-10-31 04:46:58
116,179,online,176.22,EUR,2025-10-27 11:42:13
117,180,online,302.7,EUR,2025-09-30 18:52:34
118,181,online,561.12,RUB,2025-09-19 11:05:05
119,183,online,1094.95,EUR,2026-01-18 11:42:13
120,185,online,484.54,USD,2025-11-30 14:19:55
121,186,crypto,696.5999999999999,RUB,2025-07-02 19:27:43
122,188,online,475.1,RUB,2025-01-14 19:57:11
123,189,online,679.88,EUR,2025-05-24 22:12:56
124,190,cash,223.74,RUB,2024-08-17 14:28:06
125,191,online,250.44,RUB,
126,192,card,981.7,RUB,2026-02-25 12:57:33
127,193,card,880.34,USD,2025-10-24 11:54:11
128,194,cash,924.95,EUR,2025-10-13 22:32:36
129,195,card,646.8,EUR,2025-01-18 17:40:18
130,196,online,1001.0999999999999,EUR,2024-11-12 22:08:51
131,197,cash,1218.08,RUB,2026-03-18 07:35:27
132,198,card,159.16,EUR,2025-06-19 18:44:38
133,200,online,161.17,EUR,2025-08-26 06:36:30
134,203,cash,374.86,USD,2024-08-19 07:28:14
135,204,card,912.44,EUR,2024-07-06 23:20:27
136,205,cash,424.29,RUB,2024-06-24 00:12:00
137,206,card,473.15999999999997,USD,2026-04-04 08:38:04
138,207,cash,1324.36,USD,2026-04-18 14:33:10
139,208,card,79.52,RUB,2024-07-16 10:46:24
140,210,cash,704.58,USD,
141,212,card,649.3000000000001,USD,2025-07-06 12:22:06
142,214,online,324.98,EUR,2024-11-08 03:04:13
143,217,online,55.78,RUB,2024-06-08 11:17:40
144,219,card,1429.4,RUB,2024-08-28 06:23:56
145,220,card,194.09,USD,2024-06-05 09:51:48
146,221,cash,29.14,EUR,2025-02-28 07:51:18
147,222,online,1074.4499999999998,USD,2025-09-16 23:00:09
148,223,card,798.06,RUB,2026-04-19 12:35:09
149,224,crypto,806.76,RUB,2024-09-04 08:46:21
150,225,card,1392.81,RUB,2025-07-09 22:40:26
151,226,card,641.97,USD,2025-08-28 13:29:02
152,227,card,273.49,EUR,2024-08-09 08:07:49
153,228,card,965.4300000000001,USD,2026-04-07 03:52:01
154,229,card,1185.56,EUR,2024-12-07 16:47:34
155,230,online,95.92,USD,2024-06-17 07:45:54
156,231,card,72.09,RUB,2025-02-16 01:44:40
157,232,card,1531.6999999999998,RUB,2025-07-06 19:17:33
158,233,card,989.3,USD,
159,234,online,144.35999999999999,USD,2025-05-17 10:16:54
160,235,online,765.54,USD,2024-11-07 04:23:21
161,236,card,735.8,RUB,2025-01-25 21:01:01
162,238,cash,1037.49,RUB,2025-06-24 02:31:01
163,239,card,1550.64,EUR,2026-03-20 05:06:36
164,240,card,394.8,USD,2025-06-09 17:46:59
165,243,card,949.14,RUB,2025-01-22 23:58:28
166,244,online,380.6,RUB,2026-04-29 20:34:06
167,245,card,711.52,USD,2026-05-07 11:48:25
168,246,card,1289.44,USD,2025-07-16 13:42:17
169,247,card,1856.75,EUR,2025-05-20 07:17:52
170,249,cash,411.4,EUR,2024-07-29 03:24:42
171,251,cash,1153.6,RUB,2024-11-04 08:18:11
172,252,card,734.96,USD,2025-08-15 15:36:09
173,253,card,116.59,EUR,2024-09-10 17:33:57
174,255,card,236.43,EUR,2025-03-30 19:25:02
175,256,card,411.24,EUR,2024-12-28 16:27:39
176,257,card,1151.7,RUB,2025-01-14 12:24:38
177,258,card,993.88,EUR,2025-03-19 19:08:39
178,259,card,1401.45,RUB,2024-07-24 14:57:58
179,260,card,551.24,USD,2025-12-12 18:12:37
180,261,cash,841.35,RUB,2024-08-22 17:33:17
181,263,card,101.68,EUR,2025-04-25 02:36:41
182,264,crypto,1626.08,EUR,2025-12-22 16:57:46
183,267,online,1202.44,USD,2024-06-10 13:27:40
184,268,card,536.25,RUB,2024-08-26 10:29:22
185,271,card,216.72,USD,2025-06-22 13:34:44
186,272,online,352.28,USD,2025-03-19 21:07:47
187,273,online,1350.12,EUR,2025-06-03 12:00:46
188,274,card,411.88,EUR,2024-10-14 02:40:32
189,275,card,225.55,EUR,2026-05-04 02:23:00
190,276,online,381.74,EUR,2026-03-19 08:01:23
191,277,online,326.33,USD,2024-09-11 11:55:03
192,278,cash,594.5699999999999,USD,2025-09-12 23:39:35
193,279,cash,108.28,EUR,2025-10-19 23:31:24
194,280,online,1620.2,EUR,2026-01-28 10:06:56
195,281,card,219.24,RUB,
196,283,crypto,1024.04,EUR,2025-04-25 01:03:33
197,284,online,1082.16,EUR,2024-12-25 03:02:08
198,285,online,681.7,RUB,2024-08-08 01:58:00
199,287,card,655.77,RUB,2025-11-29 00:56:49
200,288,online,74.32,EUR,2025-09-15 12:02:19
201,289,crypto,270.32,EUR,2024-11-20 04:17:24
202,293,card,100.13,RUB,2025-07-14 06:09:13
203,295,card,700.38,USD,2025-08-15 21:05:17
204,296,card,1127.91,USD,2026-01-27 04:05:25
205,298,online,289.28,EUR,2024-08-20 17:16:22
206,299,crypto,354.96,RUB,2026-04-01 10:26:48
207,302,online,541.16,USD,2025-12-14 11:55:50
208,304,card,97.96,RUB,2025-04-06 21:43:06
209,305,online,378.18,EUR,2026-01-16 10:40:00
210,306,crypto,372.65,RUB,2026-02-03 09:58:13
211,307,card,758.9,USD,2025-02-08 05:01:17
212,308,cash,733.25,EUR,2025-06-27 07:26:09
213,309,cash,768.39,RUB,2024-10-03 03:56:24
214,312,card,410.2,USD,2024-09-08 02:44:52
215,313,card,303.79,RUB,2024-11-19 19:29:55
216,314,card,1381.36,EUR,2025-01-31 11:53:28
217,316,card,1876.8,USD,2025-12-07 17:59:49
218,318,online,1621.3999999999999,RUB,2024-11-03 04:03:24
219,319,cash,376.82,RUB,2024-11-11 13:53:48
220,320,online,1916.84,RUB,2024-09-21 18:13:16
221,321,card,1801.15,EUR,2025-08-13 23:11:26
222,322,card,188.05,RUB,2026-04-29 06:28:07
223,323,card,81.53,EUR,2024-11-16 19:56:07
224,324,card,238.68,USD,2025-12-25 19:39:44
225,325,crypto,234.54,RUB,2024-07-09 00:34:56
226,326,online,1187.43,RUB,2025-05-17 03:31:04
227,328,cash,576.28,EUR,2025-11-15 09:10:17
228,332,card,799.3199999999999,EUR,2025-01-19 12:34:01
229,334,online,924.69,RUB,2024-11-06 09:28:43
230,335,card,421.59,RUB,2024-06-02 09:57:22
231,337,online,2187.9,USD,2024-11-30 12:25:54
232,338,cash,695.9,RUB,2024-09-07 21:38:27
233,339,cash,701.1,EUR,2026-02-08 21:59:47
234,340,cash,532.1,USD,2025-05-07 14:39:08
235,341,online,232.6,USD,2025-03-19 23:25:34
236,342,cash,243.26,USD,2025-09-02 08:19:35
237,343,card,295.04,USD,2025-07-18 15:13:46
238,344,online,1984.8,EUR,2025-05-03 15:15:54
239,346,card,1282.5,RUB,2025-09-11 21:25:21
240,347,online,1202.75,USD,2026-03-05 00:26:16
241,348,crypto,711.16,RUB,2025-12-01 00:19:54
242,349,card,321.06,EUR,2026-02-11 06:20:56
243,353,online,243.12,EUR,2025-05-08 08:17:35
244,354,card,1534.88,USD,2024-12-31 09:58:30
245,355,card,1543.4,USD,2025-04-25 21:58:45
246,357,online,625.2,EUR,2024-10-23 13:27:16
247,358,card,1885.32,RUB,2025-03-13 01:29:53
248,360,cash,820.71,EUR,2025-03-18 20:17:52
249,361,card,1466.46,RUB,2025-12-25 09:22:10
250,362,card,265.59999999999997,USD,2024-09-22 21:18:22
251,363,crypto,2052.4,RUB,2025-11-20 05:27:17
252,364,cash,1437.09,EUR,2025-06-09 05:08:54
253,367,card,965.0,RUB,2025-12-20 21:39:04
254,368,online,1255.4,RUB,2025-10-03 05:29:37
255,369,card,1962.45,RUB,2025-05-23 12:36:59
256,371,cash,657.44,USD,2024-05-25 23:49:13
257,374,online,1171.5,RUB,2024-10-27 05:15:25
258,376,crypto,391.94,RUB,2024-07-19 16:44:12
259,380,card,55.5,USD,2025-07-25 22:03:28
260,383,card,196.21,EUR,2024-12-31 14:18:39
261,384,crypto,222.73,RUB,2025-06-24 22:15:33
262,385,online,1756.84,USD,2024-12-23 03:45:09
263,386,online,193.82,USD,2025-04-16 07:31:48
264,388,cash,191.14,RUB,2026-04-03 15:44:25
265,389,online,395.41,USD,2024-06-20 23:42:54
266,393,card,1718.04,RUB,2025-03-06 07:27:13
267,395,cash,244.12,RUB,2025-07-01 05:30:24
268,396,online,241.04,USD,2025-04-27 16:58:29
269,399,card,376.49,EUR,2026-04-24 03:43:59
270,404,online,694.0,EUR,2025-04-27 15:30:28
271,405,card,975.58,USD,2025-10-25 03:47:47
272,406,cash,695.28,RUB,2024-11-15 07:33:32
273,407,online,527.4499999999999,RUB,2025-07-26 15:57:57
274,408,card,1960.8500000000001,RUB,2025-09-23 05:41:23
275,410,card,604.35,RUB,2025-07-14 15:44:10
276,412,card,670.96,RUB,2024-09-04 00:06:07
277,413,online,336.87,RUB,2025-09-29 05:11:37
278,415,card,263.6,EUR,2025-04-14 09:09:13
279,417,online,322.01,RUB,2025-03-19 05:20:48
280,418,online,667.22,EUR,2025-04-06 18:26:16
281,421,cash,2401.35,EUR,2025-12-09 14:07:27
282,422,card,151.04,USD,2024-12-06 23:15:59
283,423,online,646.89,EUR,2025-02-14 18:05:55
284,425,online,1138.92,RUB,2025-06-29 23:09:19
285,426,card,304.81,RUB,2025-07-13 00:42:15
286,428,crypto,1710.36,RUB,2026-01-23 14:25:00
287,429,online,1351.36,USD,2024-05-30 15:37:34
288,430,online,153.22,EUR,2024-11-01 09:04:52
289,432,card,1159.8600000000001,USD,2026-05-15 01:05:24
290,433,card,1178.01,USD,2024-08-21 15:43:46
291,434,card,330.2,EUR,2024-09-03 02:17:34
292,437,cash,1765.5500000000002,RUB,2025-04-12 05:00:59
293,438,card,107.32,USD,2026-04-30 02:36:27
294,440,cash,931.74,USD,2025-04-19 12:27:01
295,442,card,877.64,EUR,2026-02-09 16:59:48
296,443,card,1234.0,EUR,2025-07-05 05:02:46
297,444,online,850.94,RUB,2025-05-31 05:56:15
298,446,card,333.76,EUR,2024-07-10 19:29:35
299,447,online,799.64,RUB,2024-06-06 22:01:21
300,448,card,405.55,RUB,2025-04-20 20:20:11
301,450,online,1014.4,EUR,2024-06-01 15:00:43
302,451,card,448.96,EUR,2026-01-13 03:54:53
303,452,online,867.54,RUB,2025-05-03 00:31:05
304,454,card,578.46,RUB,2025-01-09 21:28:26
305,455,card,485.74,USD,2024-08-19 20:56:18
306,456,cash,269.59,RUB,2024-06-30 17:13:18
307,457,cash,839.02,USD,2025-02-06 10:12:15
308,459,online,298.98,EUR,2024-07-24 23:02:49
309,460,card,100.44,EUR,2024-11-02 08:29:29
310,462,card,194.89999999999998,EUR,2024-09-02 14:01:30
311,463,card,170.16,EUR,2025-09-29 10:52:28
312,464,card,204.72,RUB,2026-01-09 08:52:42
313,466,card,414.7,EUR,2025-09-29 13:06:24
314,467,cash,405.53,EUR,2025-06-29 08:08:38
315,468,online,902.22,EUR,2026-01-10 18:27:32
316,470,card,378.38,USD,2025-01-30 00:24:41
317,471,cash,1629.36,RUB,2026-02-06 06:33:35
318,472,cash,1429.35,RUB,2024-12-30 17:25:46
319,475,online,1984.88,EUR,2025-07-24 01:14:59
320,476,online,1882.25,RUB,2025-09-08 12:10:12
321,477,crypto,33.13,EUR,2026-03-28 15:31:54
322,478,card,1487.52,RUB,2025-06-06 10:37:08
323,479,card,116.68,USD,2025-03-22 08:49:33
324,480,online,579.72,RUB,2025-11-06 10:05:23
325,481,card,36.96,USD,2025-10-07 03:11:23
326,482,online,127.72,USD,2025-01-24 14:06:10
327,485,card,536.72,USD,2025-05-20 07:50:32
328,486,online,669.7,USD,2024-07-24 17:40:02
329,487,crypto,170.36,RUB,2024-10-21 12:53:44
330,488,card,598.24,EUR,2026-02-26 05:10:36
331,489,card,951.2,RUB,2024-09-30 14:19:43
332,492,card,1928.65,USD,2025-12-03 04:30:59
333,494,card,784.88,EUR,2026-01-07 13:33:47
334,495,cash,89.6,EUR,2026-03-03 20:52:52
335,496,card,556.18,EUR,2025-10-01 16:55:52
336,498,online,25.78,USD,2025-10-14 17:30:50
337,499,card,766.94,USD,2025-08-17 04:41:54
338,502,card,465.14,EUR,2024-11-27 03:45:07
339,503,card,1998.32,USD,2024-11-27 05:12:59
340,504,online,235.37,RUB,2025-03-18 13:30:07
341,506,card,526.5600000000001,RUB,2024-09-13 08:37:26
342,509,card,628.64,RUB,2025-11-24 09:08:50
343,510,online,666.46,RUB,2024-06-25 05:27:45
344,511,online,1684.1499999999999,EUR,2026-03-09 21:04:01
345,512,card,167.66,EUR,2026-03-29 08:29:39
346,513,cash,2335.9,RUB,2024-05-29 02:51:43
347,515,card,748.72,USD,2025-09-28 03:17:28
348,517,card,180.0,USD,2026-02-19 00:07:34
349,518,card,1411.72,EUR,2024-06-15 13:42:03
350,520,card,1735.9,EUR,2025-03-28 09:11:46
351,522,card,631.56,RUB,2026-02-23 15:17:49
352,523,cash,962.34,EUR,2025-06-12 20:59:22
353,524,card,71.28,RUB,2025-10-19 06:56:54
354,526,card,416.79,EUR,2024-07-20 20:00:22
355,527,online,1332.44,EUR,2025-03-13 02:44:44
356,531,online,422.01,EUR,2026-02-10 09:37:19
357,532,cash,407.27,USD,2024-07-15 15:40:29
358,533,card,783.3,USD,2026-04-23 16:06:51
359,535,crypto,310.16,USD,2025-01-05 20:01:30
360,536,online,11.88,RUB,2024-07-10 05:23:08
361,537,card,521.95,USD,2025-08-31 18:58:20
362,538,online,2169.25,USD,2025-12-05 05:11:36
363,539,card,278.0,RUB,2024-10-04 19:24:52
364,540,card,203.3,EUR,2025-09-21 22:21:58
365,541,card,1060.1000000000001,RUB,2026-01-17 01:15:20
366,548,cash,948.72,EUR,2026-02-17 10:37:36
367,549,online,437.95,EUR,2024-08-16 00:45:01
368,550,card,168.02,USD,
369,551,card,320.70000000000005,EUR,2026-05-08 16:59:50
370,552,card,364.77,EUR,2025-03-03 16:07:25
371,554,card,1231.32,USD,2025-06-04 08:47:12
372,557,cash,382.18,EUR,2025-12-16 16:12:51
373,559,cash,1056.54,USD,2025-09-17 18:10:04
374,560,crypto,1543.0,USD,2025-12-11 23:25:01
375,563,online,242.14,USD,2025-04-14 04:24:21
376,565,card,958.58,RUB,2025-05-02 00:26:27
377,566,card,533.04,RUB,2025-01-10 13:11:50
378,570,crypto,269.46,USD,2024-10-05 23:22:10
379,571,card,762.88,EUR,2024-08-26 18:43:59
380,572,card,388.88,RUB,2024-06-11 20:38:27
381,574,card,266.16,RUB,2026-02-09 14:35:54
382,576,card,1401.4,RUB,2025-06-26 15:39:27
383,577,online,364.26,USD,2025-11-18 18:00:02
384,578,card,123.08,USD,2024-09-29 08:07:13
385,579,card,77.76,EUR,2025-11-03 02:52:31
386,580,card,29.66,RUB,2025-11-10 08:39:50
387,581,online,294.98,EUR,
388,582,online,739.4499999999999,RUB,2024-06-28 17:56:18
389,585,card,373.98,USD,2024-09-23 08:53:48
390,586,card,2053.75,EUR,2024-09-22 23:16:13
391,587,card,348.69,USD,2025-01-19 01:47:28
392,588,online,509.6,RUB,2025-09-21 17:01:04
393,589,card,922.4,EUR,2025-01-31 15:21:16
394,590,card,96.12,USD,2024-06-05 18:07:34
395,596,card,368.4,USD,2025-02-01 16:29:22
396,597,online,887.68,EUR,
397,598,card,480.12,EUR,2024-07-22 06:53:35
398,599,card,1445.8799999999999,USD,2025-08-25 10:29:12
399,600,card,438.03,EUR,2024-07-08 14:26:58
400,602,cash,998.1299999999999,EUR,2025-10-18 22:05:00
401,606,card,178.29,RUB,2025-05-08 11:11:10
402,607,online,854.08,RUB,2024-09-13 10:25:10
403,608,card,495.35,RUB,2025-11-03 22:47:01
404,609,cash,1678.3500000000001,USD,2025-06-30 07:44:34
405,611,cash,910.3,EUR,2025-06-25 10:31:06
406,613,card,385.5,EUR,2025-03-26 10:19:52
407,614,online,43.04,USD,2024-11-01 06:39:31
408,616,card,785.5500000000001,EUR,
409,617,card,1285.04,RUB,2025-10-29 06:52:41
410,619,cash,1569.5500000000002,EUR,2024-11-10 16:38:26
411,620,online,242.69,RUB,2024-12-28 03:46:33
412,621,online,232.8,RUB,2025-01-29 06:02:53
413,622,card,842.3700000000001,RUB,2026-05-02 03:32:01
414,623,card,601.56,RUB,
415,624,card,1054.77,EUR,2026-05-13 06:48:52
416,625,crypto,1253.1999999999998,EUR,2025-10-16 01:44:24
417,627,online,777.02,USD,2025-08-21 17:49:14
418,628,online,488.32,EUR,2024-06-17 15:07:22
419,631,online,171.2,USD,2024-08-12 07:58:52
420,632,online,908.48,USD,2025-05-25 00:28:26
421,633,cash,457.18,RUB,2025-11-09 13:36:22
422,634,card,590.48,USD,2025-04-04 15:45:17
423,635,card,61.92,USD,2025-01-26 11:10:01
424,636,card,71.7,USD,2025-06-25 01:54:14
425,637,online,977.4,USD,2026-05-05 23:52:01
426,638,crypto,81.6,USD,2024-07-01 02:45:34
427,641,card,604.4399999999999,RUB,2025-09-12 09:52:23
428,642,cash,2227.4,RUB,2025-12-30 06:42:14
429,643,card,222.04,USD,2024-06-25 23:41:42
430,646,card,796.76,RUB,2026-05-23 18:35:10
431,647,card,386.3,EUR,2026-04-27 20:43:09
432,649,cash,326.8,EUR,2024-08-25 13:51:11
433,651,online,2231.85,USD,2025-05-24 04:14:51
434,652,crypto,836.8000000000001,EUR,2026-05-22 15:26:07
435,653,online,968.73,USD,2025-07-26 14:03:33
436,654,cash,775.0,EUR,2024-06-08 16:48:33
437,659,card,1147.3799999999999,USD,2024-06-26 23:51:58
438,660,card,788.2,RUB,2026-02-24 18:26:13
439,663,card,1150.65,USD,2025-05-03 02:01:42
440,665,online,257.18,RUB,2025-02-12 00:02:59
441,667,card,1436.36,EUR,2024-07-28 15:05:02
442,668,card,275.22,EUR,2025-08-23 19:23:05
443,669,card,503.46,EUR,2024-06-05 14:07:34
444,670,card,242.43,USD,2024-05-27 14:14:52
445,672,card,1216.84,EUR,2024-10-11 09:44:10
446,673,online,1437.6,USD,2024-10-05 06:19:33
447,675,card,733.4399999999999,USD,2026-03-17 13:37:23
448,676,card,848.98,EUR,2025-07-19 07:06:29
449,678,card,307.28,EUR,2025-11-01 14:58:42
450,679,card,123.59,USD,2026-03-31 10:43:19
451,680,online,302.48,EUR,2026-02-04 07:19:05
452,682,online,1914.1,RUB,2026-02-02 01:24:40
453,683,card,169.48,USD,2026-01-23 10:55:27
454,684,online,304.52,USD,2025-06-15 16:05:15
455,685,cash,873.5699999999999,EUR,2026-03-19 07:09:20
456,686,online,178.84,RUB,2025-12-05 05:25:40
457,687,online,2007.15,RUB,2026-04-12 16:00:17
458,688,online,1925.72,RUB,2024-08-31 18:51:18
459,689,online,799.5,EUR,2024-10-26 06:27:58
460,690,online,303.9,EUR,2026-05-06 07:28:08
461,691,crypto,579.24,EUR,2025-02-01 18:34:54
462,692,card,460.94,RUB,2024-06-25 14:05:44
463,694,online,474.04,EUR,2026-03-16 13:15:52
464,698,online,749.46,RUB,2024-09-13 23:15:50
465,699,card,65.49,EUR,2025-07-12 09:58:06
466,700,card,104.85000000000001,RUB,2025-02-01 18:26:48
467,701,cash,138.6,RUB,2024-08-16 13:27:24
468,702,cash,687.08,RUB,2025-07-08 01:34:46
469,705,card,20.56,USD,2025-01-13 00:06:40
470,706,card,478.94,USD,2025-04-03 01:14:03
471,708,online,958.3499999999999,EUR,2026-03-22 00:02:38
472,709,cash,1722.3500000000001,RUB,2025-10-16 10:53:09
473,710,cash,786.4,RUB,2026-04-01 09:25:11
474,711,cash,413.79,RUB,2026-03-09 23:46:09
475,713,card,128.82,RUB,2025-03-18 18:22:56
476,717,online,59.32,USD,2026-05-22 01:47:50
477,718,card,992.0,USD,2024-11-16 13:22:44
478,719,online,1027.74,RUB,2024-06-02 07:11:46
479,720,cash,515.3100000000001,USD,2025-08-19 18:23:41
480,721,card,793.76,EUR,2024-08-30 09:30:41
481,722,card,225.6,RUB,2025-04-17 09:20:31
482,723,online,650.6,RUB,2024-12-04 13:59:26
483,724,online,202.76,EUR,2024-08-13 01:49:44
484,726,cash,339.51,EUR,2026-02-16 12:22:16
485,727,online,82.36,EUR,2024-07-04 07:57:50
486,731,card,1576.12,EUR,2025-05-09 04:31:30
487,732,cash,1438.35,RUB,2026-03-23 21:26:53
488,733,card,1756.04,EUR,2025-08-09 03:12:22
489,735,card,1206.3000000000002,EUR,2026-02-18 18:59:57
490,736,online,544.2,USD,2026-04-30 03:39:39
491,737,card,810.39,RUB,2025-08-25 14:23:35
492,738,online,232.93,RUB,2024-10-11 07:55:54
493,739,online,149.4,USD,2024-11-05 21:07:02
494,740,online,1860.92,RUB,2026-02-02 21:29:18
495,741,online,471.41999999999996,RUB,2024-11-13 13:09:43
496,742,card,36.3,USD,2024-09-27 13:22:59
497,743,card,479.73,EUR,
498,745,online,1176.1200000000001,USD,2025-02-20 00:47:10
499,747,card,73.64,RUB,2025-11-17 06:59:42
500,749,online,1744.3000000000002,RUB,2025-04-11 05:43:24
501,750,card,477.26,USD,2025-12-21 03:25:41
502,751,card,1926.6999999999998,RUB,2026-04-14 19:29:50
503,752,card,184.57,USD,2026-02-01 08:50:39
504,753,online,1096.1999999999998,RUB,2026-01-09 11:14:24
505,754,card,525.7,RUB,2024-09-11 17:11:53
506,755,crypto,243.0,RUB,2024-12-20 00:31:54
507,756,card,1881.9499999999998,USD,2025-06-23 05:09:42
508,757,cash,974.52,USD,2025-11-05 14:59:54
